season,constructor,constructor_pts,constructor_pts_pct,constructor_position
2018,Mercedes,655.0,0.3088165959453088,1
2018,Ferrari,571.0,0.2692126355492692,2
2018,Red Bull,419.0,0.19754832626119756,3
2018,Renault,122.0,0.05752003771805752,4
2018,Force India,111.0,0.05233380480905234,5
2018,Haas F1 Team,93.0,0.04384724186704385,6
2018,McLaren,62.0,0.029231494578029232,7
2018,Sauber,48.0,0.02263083451202263,8
2018,Toro Rosso,33.0,0.015558698727015558,9
2018,Williams,7.0,0.0033003300330033004,10
2019,Mercedes,739.0,0.3453271028037383,1
2019,Ferrari,504.0,0.23551401869158878,2
2019,Red Bull,417.0,0.19485981308411215,3
2019,McLaren,145.0,0.06775700934579439,4
2019,Renault,91.0,0.04252336448598131,5
2019,Toro Rosso,85.0,0.0397196261682243,6
2019,Racing Point,73.0,0.03411214953271028,7
2019,Alfa Romeo,57.0,0.02663551401869159,8
2019,Haas F1 Team,28.0,0.013084112149532711,9
2019,Williams,1.0,0.00046728971962616824,10
2020,Mercedes,573.0,0.3333333333333333,1
2020,Red Bull,319.0,0.18557300756253636,2
2020,McLaren,202.0,0.11751018033740547,3
2020,Racing Point,195.0,0.11343804537521815,4
2020,Renault,181.0,0.10529377545084351,5
2020,Ferrari,131.0,0.07620709714950552,6
2020,AlphaTauri,107.0,0.062245491564863295,7
2020,Alfa Romeo,8.0,0.004653868528214078,8
2020,Haas F1 Team,3.0,0.0017452006980802793,9
2020,Williams,0.0,0.0,10
2021,Mercedes,613.5,0.27791619479048696,1
2021,Red Bull,585.5,0.2652321630804077,2
2021,Ferrari,323.5,0.1465458663646659,3
2021,McLaren,275.0,0.1245753114382786,4
2021,Alpine F1 Team,155.0,0.07021517553793885,5
2021,AlphaTauri,142.0,0.06432616081540204,6
2021,Aston Martin,77.0,0.03488108720271801,7
2021,Williams,23.0,0.010419026047565118,8
2021,Alfa Romeo,13.0,0.005889014722536806,9
2021,Haas F1 Team,0.0,0.0,10
2022,Red Bull,759.0,0.3229787234042553,1
2022,Ferrari,554.0,0.23574468085106384,2
2022,Mercedes,515.0,0.21914893617021278,3
2022,Alpine F1 Team,173.0,0.07361702127659575,4
2022,McLaren,159.0,0.06765957446808511,5
2022,Alfa Romeo,55.0,0.023404255319148935,6
2022,Aston Martin,55.0,0.023404255319148935,7
2022,Haas F1 Team,37.0,0.01574468085106383,8
2022,AlphaTauri,35.0,0.014893617021276596,9
2022,Williams,8.0,0.003404255319148936,10
2023,Red Bull,860.0,0.3498779495524817,1
2023,Mercedes,409.0,0.16639544344995932,2
2023,Ferrari,406.0,0.16517493897477625,3
2023,McLaren,302.0,0.12286411716842961,4
2023,Aston Martin,280.0,0.11391375101708706,5
2023,Alpine F1 Team,120.0,0.04882017900732303,6
2023,Williams,28.0,0.011391375101708706,7
2023,AlphaTauri,25.0,0.01017087062652563,8
2023,Alfa Romeo,16.0,0.006509357200976403,9
2023,Haas F1 Team,12.0,0.004882017900732303,10
2024,McLaren,666.0,0.25047010154193305,1
2024,Ferrari,652.0,0.2452049642722828,2
2024,Red Bull,589.0,0.22151184655885672,3
2024,Mercedes,468.0,0.17600601729973675,4
2024,Aston Martin,94.0,0.03535163595336593,5
2024,Alpine F1 Team,65.0,0.024445280180518992,6
2024,Haas F1 Team,58.0,0.02181271154569387,7
2024,RB F1 Team,46.0,0.017299736743136517,8
2024,Williams,17.0,0.006393380970289583,9
2024,Sauber,4.0,0.001504324934185784,10
2025,McLaren,833.0,0.31553030303030305,1
2025,Mercedes,469.0,0.17765151515151514,2
2025,Red Bull,451.0,0.17083333333333334,3
2025,Ferrari,398.0,0.15075757575757576,4
2025,Williams,137.0,0.051893939393939395,5
2025,RB F1 Team,92.0,0.03484848484848485,6
2025,Aston Martin,89.0,0.033712121212121214,7
2025,Haas F1 Team,79.0,0.029924242424242423,8
2025,Sauber,70.0,0.026515151515151516,9
2025,Alpine F1 Team,22.0,0.008333333333333333,10
