season,round,circuit,driver_id,quali_pos
2018,1,Albert Park Grand Prix Circuit,hamilton,1
2018,1,Albert Park Grand Prix Circuit,raikkonen,2
2018,1,Albert Park Grand Prix Circuit,vettel,3
2018,1,Albert Park Grand Prix Circuit,max_verstappen,4
2018,1,Albert Park Grand Prix Circuit,ricciardo,5
2018,1,Albert Park Grand Prix Circuit,kevin_magnussen,6
2018,1,Albert Park Grand Prix Circuit,grosjean,7
2018,1,Albert Park Grand Prix Circuit,hulkenberg,8
2018,1,Albert Park Grand Prix Circuit,sainz,9
2018,1,Albert Park Grand Prix Circuit,bottas,10
2018,1,Albert Park Grand Prix Circuit,alonso,11
2018,1,Albert Park Grand Prix Circuit,vandoorne,12
2018,1,Albert Park Grand Prix Circuit,perez,13
2018,1,Albert Park Grand Prix Circuit,stroll,14
2018,1,Albert Park Grand Prix Circuit,ocon,15
2018,1,Albert Park Grand Prix Circuit,brendon_hartley,16
2018,1,Albert Park Grand Prix Circuit,ericsson,17
2018,1,Albert Park Grand Prix Circuit,leclerc,18
2018,1,Albert Park Grand Prix Circuit,sirotkin,19
2018,1,Albert Park Grand Prix Circuit,gasly,20
2018,2,Bahrain International Circuit,vettel,1
2018,2,Bahrain International Circuit,raikkonen,2
2018,2,Bahrain International Circuit,bottas,3
2018,2,Bahrain International Circuit,hamilton,4
2018,2,Bahrain International Circuit,ricciardo,5
2018,2,Bahrain International Circuit,gasly,6
2018,2,Bahrain International Circuit,kevin_magnussen,7
2018,2,Bahrain International Circuit,hulkenberg,8
2018,2,Bahrain International Circuit,ocon,9
2018,2,Bahrain International Circuit,sainz,10
2018,2,Bahrain International Circuit,brendon_hartley,11
2018,2,Bahrain International Circuit,perez,12
2018,2,Bahrain International Circuit,alonso,13
2018,2,Bahrain International Circuit,vandoorne,14
2018,2,Bahrain International Circuit,max_verstappen,15
2018,2,Bahrain International Circuit,grosjean,16
2018,2,Bahrain International Circuit,ericsson,17
2018,2,Bahrain International Circuit,sirotkin,18
2018,2,Bahrain International Circuit,leclerc,19
2018,2,Bahrain International Circuit,stroll,20
2018,3,Shanghai International Circuit,vettel,1
